timestamp,cpu_count,user,system,idle,interrupt,dpc,load_avg_0,load_avg_1,load_avg_2,memory_total,memory_used,memory_free,memory_percent,memory_sin,memory_sout,disk_total_disk,disk_used_disk,disk_free_disk,disk_percent_disk,disk_io_read_count_disk_io,disk_io_write_count_disk_io,disk_io_read_bytes_disk_io,disk_io_write_bytes_disk_io,disk_io_read_time_disk_io,disk_io_write_time_disk_io,label
1704645111281,4,63.9,35.7,0.0,0.1,0.3,9.42,3.14,1.15,10632826880,428883968,10203942912,4.0,0,0,490662260736,350870106112,139792154624,71.5,8102009,3858593,203360880128,375400943104,4528,4041,anomaly
1704645114708,4,76.7,22.9,0.0,0.5,0.0,9.42,3.14,1.15,11727646720,428883968,11298762752,3.7,0,0,490662260736,351965638656,138696622080,71.7,8102013,3858609,203360937472,375401602560,4529,4041,anomaly
1704645116939,4,65.0,34.5,0.2,0.2,0.2,9.07,3.18,1.17,8600850432,428883968,8171966464,5.0,0,0,490662260736,348291436544,142370824192,71.0,8102034,3858661,203361330688,375404047872,4529,4041,anomaly
1704645119313,4,96.8,3.0,0.0,0.2,0.0,9.07,3.18,1.17,8600850432,428883968,8171966464,5.0,0,0,490662260736,348291436544,142370824192,71.0,8102037,3858668,203362354688,375404428800,4529,4041,anomaly
1704645121644,4,96.4,3.3,0.0,0.2,0.2,10.98,3.67,1.35,8600850432,428883968,8171966464,5.0,0,0,490662260736,348291522560,142370738176,71.0,8102037,3858680,203362354688,375404948992,4529,4041,anomaly
1704645123690,4,0.2,1.1,98.7,0.0,0.0,10.98,3.67,1.35,8600850432,428883968,8171966464,5.0,0,0,490662260736,348291444736,142370816000,71.0,8102038,3858709,203362358784,375405710848,4529,4041,normal
1704645125720,4,2.3,0.6,97.1,0.0,0.0,10.1,3.61,1.34,8600850432,428883968,8171966464,5.0,0,0,490662260736,348294139904,142368120832,71.0,8102041,3858824,203362371072,375412907520,4529,4041,normal
1704645127743,4,2.3,1.5,96.1,0.0,0.0,10.1,3.61,1.34,8600850432,428883968,8171966464,5.0,0,0,490662260736,348294144000,142368116736,71.0,8102045,3858827,203362387456,375413067264,4529,4041,normal
1704645129766,4,0.2,1.3,98.5,0.0,0.0,10.1,3.61,1.34,8600850432,428883968,8171966464,5.0,0,0,490662260736,348294144000,142368116736,71.0,8102049,3858833,203362403840,375413431808,4529,4041,normal
1704645131793,4,1.0,2.7,96.1,0.0,0.2,9.29,3.55,1.33,8600850432,428883968,8171966464,5.0,0,0,490662260736,348294144000,142368116736,71.0,8102053,3858846,203362417664,375413943808,4529,4041,normal
1704645133819,4,0.8,1.0,98.3,0.0,0.0,9.29,3.55,1.33,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067695104,143594565632,70.7,8102057,3858957,203362434048,375420894720,4529,4041,normal
1704645135831,4,1.0,1.2,97.8,0.0,0.0,8.55,3.49,1.33,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067695104,143594565632,70.7,8102062,3858960,203362454528,375421042176,4529,4041,normal
1704645137842,4,1.7,1.2,97.1,0.0,0.0,8.55,3.49,1.33,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067707392,143594553344,70.7,8102066,3858966,203362470912,375421443584,4529,4041,normal
1704645139873,4,2.5,1.7,95.8,0.0,0.0,8.55,3.49,1.33,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067707392,143594553344,70.7,8102072,3858972,203362495488,375421795840,4529,4042,normal
1704645141899,4,0.8,0.6,98.7,0.0,0.0,7.87,3.43,1.32,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067707392,143594553344,70.7,8102073,3858974,203362499584,375421935104,4529,4042,normal
1704645143927,4,0.4,0.6,99.0,0.0,0.0,7.87,3.43,1.32,7371902976,428883968,6943019008,5.8,0,0,490662260736,347067707392,143594553344,70.7,8102078,3859044,203362520064,375422296576,4529,4042,normal
1704645145949,4,1.5,2.3,96.0,0.0,0.2,7.24,3.38,1.31,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102079,3859154,203362524160,375428837888,4529,4042,normal
1704645147969,4,0.6,0.6,98.7,0.0,0.2,7.24,3.38,1.31,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102082,3859156,203362536448,375428977152,4529,4042,normal
1704645150002,4,2.7,2.1,95.0,0.0,0.2,7.24,3.38,1.31,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102086,3859162,203362552832,375429382656,4529,4042,normal
1704645152036,4,0.2,1.0,98.8,0.0,0.0,6.66,3.32,1.3,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102089,3859164,203362565120,375429517824,4529,4042,normal
1704645154060,4,1.7,0.8,97.1,0.4,0.0,6.66,3.32,1.3,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102091,3859167,203362573312,375429788160,4529,4042,normal
1704645156084,4,1.1,1.5,96.9,0.2,0.2,6.13,3.26,1.3,7371902976,428883968,6943019008,5.8,0,0,490662260736,347069800448,143592460288,70.7,8102095,3859170,203362589696,375429927424,4529,4042,normal
1704645158104,4,1.0,2.3,95.7,0.6,0.4,6.13,3.26,1.3,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071815680,143590445056,70.7,8102103,3859279,203362728960,375436435968,4529,4042,normal
1704645160124,4,1.0,1.0,98.0,0.0,0.0,6.13,3.26,1.3,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071815680,143590445056,70.7,8102107,3859288,203362745344,375436972544,4529,4042,normal
1704645162148,4,1.0,0.4,98.7,0.0,0.0,5.64,3.21,1.29,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071815680,143590445056,70.7,8102111,3859295,203362761728,375437349376,4529,4042,normal
1704645164176,4,0.6,1.2,98.3,0.0,0.0,5.64,3.21,1.29,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071815680,143590445056,70.7,8102114,3859297,203362774016,375437488640,4529,4042,normal
1704645166201,4,1.0,1.0,97.9,0.2,0.0,5.19,3.16,1.28,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071815680,143590445056,70.7,8102117,3859301,203362786304,375437578752,4529,4042,normal
1704645168235,4,0.8,1.8,97.5,0.0,0.0,5.19,3.16,1.28,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071819776,143590440960,70.7,8102122,3859385,203362806784,375439166976,4529,4042,normal
1704645170255,4,1.0,1.4,97.5,0.0,0.2,5.19,3.16,1.28,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071819776,143590440960,70.7,8102126,3859473,203362823168,375443281920,4529,4042,normal
1704645172267,4,1.9,1.2,96.9,0.0,0.0,4.77,3.11,1.27,7371902976,428883968,6943019008,5.8,0,0,490662260736,347071459328,143590801408,70.7,8102130,3859522,203362839552,375443850240,4529,4042,normal
1704645174292,4,0.4,1.9,97.7,0.0,0.0,4.77,3.11,1.27,7371902976,428883968,6943019008,5.8,0,0,490662260736,347073445888,143588814848,70.7,8102156,3859775,203363171328,375449667584,4529,4042,normal
1704645176314,4,1.2,0.8,98.1,0.0,0.0,4.47,3.07,1.27,7371902976,428883968,6943019008,5.8,0,0,490662260736,347073445888,143588814848,70.7,8102159,3859835,203363212288,375451288576,4529,4042,normal
1704645178338,4,1.2,2.5,96.3,0.0,0.0,4.47,3.07,1.27,7371902976,428883968,6943019008,5.8,0,0,490662260736,347073445888,143588814848,70.7,8102163,3859904,203363228672,375453562880,4529,4042,normal
1704645180385,4,40.1,22.1,37.8,0.0,0.0,4.47,3.07,1.27,7371902976,428883968,6943019008,5.8,0,0,490662260736,347075969024,143586291712,70.7,8102171,3860009,203363408896,375458121216,4529,4042,anomaly
1704645182728,4,77.3,22.5,0.0,0.2,0.0,4.75,3.15,1.31,7371902976,428883968,6943019008,5.8,0,0,490662260736,347075973120,143586287616,70.7,8102179,3860088,203363564544,375460094976,4529,4042,anomaly
1704645185208,4,96.1,3.8,0.0,0.2,0.0,4.75,3.15,1.31,7371902976,428883968,6943019008,5.8,0,0,490662260736,347075973120,143586287616,70.7,8102180,3860122,203363568640,375461090816,4529,4043,anomaly
1704645187648,4,87.9,8.6,3.2,0.3,0.0,7.25,3.69,1.5,7371902976,441520128,6930382848,6.0,0,0,490662260736,347075977216,143586283520,70.7,8102188,3860174,203363765248,375474681344,4529,4043,anomaly
1704645190412,4,66.5,33.3,0.0,0.1,0.0,7.25,3.69,1.5,10673127424,441520128,10231607296,4.1,0,0,490662260736,350924259328,139738001408,71.5,8102199,3860275,203364031488,375477491712,4529,4043,anomaly
1704645193301,4,78.2,21.4,0.0,0.4,0.0,8.67,4.05,1.63,11764207616,441520128,11322687488,3.8,0,0,490662260736,352013828096,138648432640,71.7,8102218,3860316,203364346880,375478905344,4529,4043,anomaly
1704645195788,4,68.7,31.1,0.0,0.2,0.0,9.42,4.28,1.72,11764207616,441520128,11322687488,3.8,0,0,490662260736,352016343040,138645917696,71.7,8102235,3860456,203364719616,375484496896,4529,4043,anomaly
1704645198508,4,71.6,28.1,0.0,0.1,0.1,9.42,4.28,1.72,11764207616,441520128,11322687488,3.8,0,0,490662260736,352016359424,138645901312,71.7,8102243,3860514,203364875264,375486156288,4529,4044,anomaly
1704645200531,4,1.8,1.4,96.9,0.0,0.0,8.66,4.21,1.71,11764207616,453771264,11310436352,3.9,0,0,490662260736,352016363520,138645897216,71.7,8103082,3860597,203380939776,375500017664,4529,4044,normal
1704645202550,4,1.2,0.6,98.3,0.0,0.0,8.66,4.21,1.71,11764207616,453771264,11310436352,3.9,0,0,490662260736,352016363520,138645897216,71.7,8103085,3860632,203380952064,375501640704,4529,4044,normal
1704645204574,4,1.2,2.1,96.4,0.4,0.0,8.66,4.21,1.71,11764207616,453771264,11310436352,3.9,0,0,490662260736,352018862080,138643398656,71.7,8103088,3860772,203380964352,375506509312,4529,4044,normal
1704645206595,4,0.6,0.4,98.8,0.0,0.2,7.97,4.14,1.7,11764207616,453771264,11310436352,3.9,0,0,490662260736,352018862080,138643398656,71.7,8103094,3860778,203380988928,375506797568,4529,4044,normal
1704645208617,4,0.2,1.4,98.4,0.0,0.0,7.97,4.14,1.7,11764207616,453771264,11310436352,3.9,0,0,490662260736,352018862080,138643398656,71.7,8103096,3860819,203380997120,375508372480,4529,4044,normal
1704645210646,4,0.6,1.9,97.5,0.0,0.0,7.33,4.07,1.7,7371902976,453771264,6918131712,6.2,0,0,490662260736,347081015296,143581245440,70.7,8103102,3860845,203381128192,375509713920,4529,4044,normal
1704645212664,4,2.7,1.2,96.1,0.0,0.0,7.33,4.07,1.7,7371902976,453771264,6918131712,6.2,0,0,490662260736,347081015296,143581245440,70.7,8103105,3860886,203381140480,375510969344,4529,4044,normal
1704645214680,4,0.8,1.4,97.8,0.0,0.0,7.33,4.07,1.7,7371902976,453771264,6918131712,6.2,0,0,490662260736,347081015296,143581245440,70.7,8103109,3860902,203381156864,375511254528,4529,4044,normal
1704645216702,4,1.0,0.8,98.3,0.0,0.0,6.75,4.0,1.69,7371902976,453771264,6918131712,6.2,0,0,490662260736,347083108352,143579152384,70.7,8103113,3860976,203381173248,375515041792,4529,4044,normal
1704645218727,4,0.6,0.8,98.6,0.0,0.0,6.75,4.0,1.69,7371902976,453771264,6918131712,6.2,0,0,490662260736,347083108352,143579152384,70.7,8103117,3860981,203381189632,375515195904,4529,4044,normal
1704645220755,4,1.3,1.0,97.5,0.0,0.2,6.21,3.94,1.68,7371902976,453771264,6918131712,6.2,0,0,490662260736,347083108352,143579152384,70.7,8103121,3861029,203381206016,375517607424,4529,4044,normal
1704645222786,4,0.6,0.8,98.6,0.0,0.0,6.21,3.94,1.68,7371902976,453771264,6918131712,6.2,0,0,490662260736,347085639680,143576621056,70.7,8103124,3861106,203381218304,375522513408,4529,4044,normal
1704645224797,4,1.7,1.5,96.5,0.2,0.0,6.21,3.94,1.68,7371902976,453771264,6918131712,6.2,0,0,490662260736,347085639680,143576621056,70.7,8103127,3861133,203381230592,375523188224,4529,4044,normal
1704645226822,4,1.3,1.1,97.3,0.0,0.2,5.71,3.87,1.67,7371902976,453771264,6918131712,6.2,0,0,490662260736,347085639680,143576621056,70.7,8103132,3861137,203381251072,375523331072,4529,4044,normal
1704645228852,4,0.0,1.2,98.8,0.0,0.0,5.71,3.87,1.67,7371902976,453771264,6918131712,6.2,0,0,490662260736,347085639680,143576621056,70.7,8103136,3861184,203381267456,375526205952,4529,4044,normal
1704645230867,4,0.2,0.4,99.4,0.0,0.0,5.25,3.81,1.66,7371902976,453771264,6918131712,6.2,0,0,490662260736,347085639680,143576621056,70.7,8103140,3861191,203381312512,375526472192,4529,4044,normal
1704645232886,4,1.2,1.2,97.5,0.0,0.2,5.25,3.81,1.66,7371902976,453771264,6918131712,6.2,0,0,490662260736,347088052224,143574208512,70.7,8103144,3861259,203381328896,375530433024,4529,4045,normal
1704645234910,4,0.0,0.6,99.4,0.0,0.0,5.25,3.81,1.66,7371902976,453771264,6918131712,6.2,0,0,490662260736,347088052224,143574208512,70.7,8103148,3861284,203381349376,375531174400,4529,4045,normal
1704645236936,4,1.0,0.8,98.0,0.2,0.0,4.83,3.74,1.65,7371902976,453771264,6918131712,6.2,0,0,490662260736,347088056320,143574204416,70.7,8103153,3861321,203381369856,375533235200,4529,4045,normal
1704645238965,4,0.6,1.2,98.1,0.2,0.0,4.83,3.74,1.65,7371902976,453771264,6918131712,6.2,0,0,490662260736,347088056320,143574204416,70.7,8103156,3861332,203381382144,375533764096,4529,4045,normal
